time,"P(A)","P(B)","P(CLK)","P(ROUT)"
6.725000e-12,1.411095e+00,1.095871e+00,1.350991e+00,8.013555e-01
6.750000e-12,1.409771e+00,1.096053e+00,1.347463e+00,8.036048e-01
6.775000e-12,1.408461e+00,1.096225e+00,1.343960e+00,8.058228e-01
6.800000e-12,1.407173e+00,1.096388e+00,1.340493e+00,8.080105e-01
6.825000e-12,1.405918e+00,1.096545e+00,1.337074e+00,8.101691e-01
6.850000e-12,1.404705e+00,1.096698e+00,1.333712e+00,8.122995e-01
6.875000e-12,1.403543e+00,1.096851e+00,1.330420e+00,8.144028e-01
6.900000e-12,1.402440e+00,1.097006e+00,1.327208e+00,8.164802e-01
6.925000e-12,1.401407e+00,1.097165e+00,1.324086e+00,8.185326e-01
6.950000e-12,1.400450e+00,1.097330e+00,1.321064e+00,8.205611e-01
6.975000e-12,1.399580e+00,1.097504e+00,1.318151e+00,8.225668e-01
7.000000e-12,1.398803e+00,1.097688e+00,1.315356e+00,8.245507e-01
7.025000e-12,1.398126e+00,1.097884e+00,1.312688e+00,8.265137e-01
7.050000e-12,1.397556e+00,1.098095e+00,1.310155e+00,8.284568e-01
7.075000e-12,1.397098e+00,1.098321e+00,1.307764e+00,8.303809e-01
7.100000e-12,1.396757e+00,1.098565e+00,1.305523e+00,8.322870e-01
7.125000e-12,1.396537e+00,1.098828e+00,1.303437e+00,8.341758e-01
7.150000e-12,1.396441e+00,1.099110e+00,1.301513e+00,8.360484e-01
7.175000e-12,1.396472e+00,1.099415e+00,1.299755e+00,8.379053e-01
7.200000e-12,1.396629e+00,1.099741e+00,1.298169e+00,8.397474e-01
7.225000e-12,1.396914e+00,1.100091e+00,1.296757e+00,8.415754e-01
7.250000e-12,1.397325e+00,1.100466e+00,1.295524e+00,8.433900e-01
7.275000e-12,1.397860e+00,1.100865e+00,1.294472e+00,8.451917e-01
7.300000e-12,1.398517e+00,1.101289e+00,1.293603e+00,8.469812e-01
7.325000e-12,1.399293e+00,1.101740e+00,1.292918e+00,8.487590e-01
7.350000e-12,1.400181e+00,1.102217e+00,1.292418e+00,8.505256e-01
7.375000e-12,1.401178e+00,1.102720e+00,1.292103e+00,8.522814e-01
7.400000e-12,1.402276e+00,1.103249e+00,1.291972e+00,8.540268e-01
7.425000e-12,1.403470e+00,1.103805e+00,1.292025e+00,8.557621e-01
7.450000e-12,1.404751e+00,1.104388e+00,1.292259e+00,8.574877e-01
7.475000e-12,1.406112e+00,1.104996e+00,1.292673e+00,8.592038e-01
7.500000e-12,1.407544e+00,1.105630e+00,1.293262e+00,8.609106e-01
7.525000e-12,1.409040e+00,1.106288e+00,1.294025e+00,8.626082e-01
7.550000e-12,1.410591e+00,1.106972e+00,1.294956e+00,8.642969e-01
7.575000e-12,1.412187e+00,1.107679e+00,1.296052e+00,8.659766e-01
7.600000e-12,1.413820e+00,1.108410e+00,1.297308e+00,8.676474e-01
7.625000e-12,1.415482e+00,1.109162e+00,1.298718e+00,8.693094e-01
7.650000e-12,1.417164e+00,1.109936e+00,1.300277e+00,8.709624e-01
7.675000e-12,1.418857e+00,1.110729e+00,1.301980e+00,8.726063e-01
7.700000e-12,1.420555e+00,1.111542e+00,1.303819e+00,8.742412e-01
7.725000e-12,1.422250e+00,1.112373e+00,1.305789e+00,8.758668e-01
7.750000e-12,1.423936e+00,1.113220e+00,1.307882e+00,8.774831e-01
7.775000e-12,1.425605e+00,1.114083e+00,1.310092e+00,8.790897e-01
7.800000e-12,1.427254e+00,1.114959e+00,1.312412e+00,8.806865e-01
7.825000e-12,1.428876e+00,1.115848e+00,1.314835e+00,8.822732e-01
7.850000e-12,1.430468e+00,1.116749e+00,1.317353e+00,8.838497e-01
7.875000e-12,1.432026e+00,1.117658e+00,1.319959e+00,8.854156e-01
7.900000e-12,1.433548e+00,1.118576e+00,1.322645e+00,8.869706e-01
7.925000e-12,1.435031e+00,1.119500e+00,1.325405e+00,8.885144e-01
7.950000e-12,1.436473e+00,1.120429e+00,1.328231e+00,8.900468e-01
7.975000e-12,1.437875e+00,1.121361e+00,1.331115e+00,8.915674e-01
8.000000e-12,1.439235e+00,1.122295e+00,1.334051e+00,8.930759e-01
8.025000e-12,1.440554e+00,1.123229e+00,1.337032e+00,8.945721e-01
8.050000e-12,1.441833e+00,1.124162e+00,1.340050e+00,8.960555e-01
8.075000e-12,1.443072e+00,1.125092e+00,1.343098e+00,8.975258e-01
8.100000e-12,1.444274e+00,1.126017e+00,1.346171e+00,8.989829e-01
8.125000e-12,1.445439e+00,1.126935e+00,1.349262e+00,9.004262e-01
8.150000e-12,1.446570e+00,1.127846e+00,1.352364e+00,9.018557e-01
8.175000e-12,1.447668e+00,1.128747e+00,1.355472e+00,9.032709e-01
8.200000e-12,1.448736e+00,1.129638e+00,1.358579e+00,9.046717e-01
8.225000e-12,1.449776e+00,1.130517e+00,1.361681e+00,9.060577e-01
8.250000e-12,1.450788e+00,1.131381e+00,1.364772e+00,9.074288e-01
8.275000e-12,1.451776e+00,1.132231e+00,1.367847e+00,9.087847e-01
8.300000e-12,1.452740e+00,1.133065e+00,1.370901e+00,9.101252e-01
8.325000e-12,1.453682e+00,1.133880e+00,1.373929e+00,9.114501e-01
8.350000e-12,1.454603e+00,1.134677e+00,1.376929e+00,9.127594e-01
8.375000e-12,1.455502e+00,1.135454e+00,1.379894e+00,9.140528e-01
8.400000e-12,1.456380e+00,1.136210e+00,1.382822e+00,9.153302e-01
8.425000e-12,1.457237e+00,1.136944e+00,1.385710e+00,9.165917e-01
8.450000e-12,1.458072e+00,1.137655e+00,1.388553e+00,9.178370e-01
8.475000e-12,1.458883e+00,1.138341e+00,1.391350e+00,9.190662e-01
8.500000e-12,1.459670e+00,1.139003e+00,1.394097e+00,9.202793e-01
8.525000e-12,1.460431e+00,1.139640e+00,1.396792e+00,9.214762e-01
8.550000e-12,1.461162e+00,1.140250e+00,1.399432e+00,9.226571e-01
8.575000e-12,1.461863e+00,1.140834e+00,1.402016e+00,9.238219e-01
8.600000e-12,1.462529e+00,1.141390e+00,1.404541e+00,9.249708e-01
