time,"I(L1|XDUT)"
1.972500e-11,5.824318e-06
1.975000e-11,5.823591e-06
1.977500e-11,5.822840e-06
1.980000e-11,5.822069e-06
1.982500e-11,5.821279e-06
1.985000e-11,5.820474e-06
1.987500e-11,5.819655e-06
1.990000e-11,5.818825e-06
1.992500e-11,5.817986e-06
1.995000e-11,5.817141e-06
1.997500e-11,5.816291e-06
2.000000e-11,5.815439e-06
2.002500e-11,5.814587e-06
2.005000e-11,5.813737e-06
2.007500e-11,5.812892e-06
2.010000e-11,5.812053e-06
2.012500e-11,5.811222e-06
2.015000e-11,5.810401e-06
2.017500e-11,5.809592e-06
2.020000e-11,5.808796e-06
2.022500e-11,5.808015e-06
2.025000e-11,5.807251e-06
2.027500e-11,5.806505e-06
2.030000e-11,5.805779e-06
2.032500e-11,5.805073e-06
2.035000e-11,5.804388e-06
2.037500e-11,5.803726e-06
2.040000e-11,5.803088e-06
2.042500e-11,5.802474e-06
2.045000e-11,5.801886e-06
2.047500e-11,5.801323e-06
2.050000e-11,5.800787e-06
2.052500e-11,5.800278e-06
2.055000e-11,5.799795e-06
2.057500e-11,5.799340e-06
2.060000e-11,5.798913e-06
2.062500e-11,5.798514e-06
2.065000e-11,5.798142e-06
2.067500e-11,5.797797e-06
2.070000e-11,5.797481e-06
2.072500e-11,5.797191e-06
2.075000e-11,5.796928e-06
2.077500e-11,5.796692e-06
2.080000e-11,5.796481e-06
2.082500e-11,5.796296e-06
2.085000e-11,5.796136e-06
2.087500e-11,5.796000e-06
2.090000e-11,5.795888e-06
2.092500e-11,5.795798e-06
2.095000e-11,5.795731e-06
2.097500e-11,5.795684e-06
2.100000e-11,5.795658e-06
2.102500e-11,5.795650e-06
2.105000e-11,5.795661e-06
2.107500e-11,5.795689e-06
2.110000e-11,5.795734e-06
2.112500e-11,5.795793e-06
2.115000e-11,5.795866e-06
2.117500e-11,5.795953e-06
2.120000e-11,5.796050e-06
2.122500e-11,5.796159e-06
2.125000e-11,5.796277e-06
2.127500e-11,5.796403e-06
2.130000e-11,5.796536e-06
2.132500e-11,5.796675e-06
2.135000e-11,5.796819e-06
2.137500e-11,5.796966e-06
2.140000e-11,5.797116e-06
2.142500e-11,5.797267e-06
2.145000e-11,5.797417e-06
2.147500e-11,5.797567e-06
2.150000e-11,5.797714e-06
2.152500e-11,5.797858e-06
2.155000e-11,5.797997e-06
2.157500e-11,5.798131e-06
2.160000e-11,5.798258e-06
2.162500e-11,5.798377e-06
2.165000e-11,5.798488e-06
2.167500e-11,5.798589e-06
2.170000e-11,5.798680e-06
2.172500e-11,5.798759e-06
2.175000e-11,5.798826e-06
2.177500e-11,5.798880e-06
2.180000e-11,5.798921e-06
2.182500e-11,5.798946e-06
2.185000e-11,5.798957e-06
2.187500e-11,5.798952e-06
2.190000e-11,5.798930e-06
2.192500e-11,5.798892e-06
2.195000e-11,5.798836e-06
2.197500e-11,5.798762e-06
2.200000e-11,5.798670e-06
2.202500e-11,5.798560e-06
2.205000e-11,5.798432e-06
2.207500e-11,5.798284e-06
2.210000e-11,5.798118e-06
2.212500e-11,5.797932e-06
2.215000e-11,5.797728e-06
2.217500e-11,5.797504e-06
2.220000e-11,5.797262e-06
2.222500e-11,5.797001e-06
2.225000e-11,5.796722e-06
2.227500e-11,5.796425e-06
2.230000e-11,5.796111e-06
2.232500e-11,5.795779e-06
2.235000e-11,5.795430e-06
2.237500e-11,5.795065e-06
2.240000e-11,5.794685e-06
2.242500e-11,5.794290e-06
2.245000e-11,5.793880e-06
2.247500e-11,5.793457e-06
2.250000e-11,5.793021e-06
2.252500e-11,5.792574e-06
2.255000e-11,5.792116e-06
2.257500e-11,5.791647e-06
2.260000e-11,5.791170e-06
2.262500e-11,5.790685e-06
2.265000e-11,5.790192e-06
2.267500e-11,5.789694e-06
2.270000e-11,5.789191e-06
2.272500e-11,5.788684e-06
2.275000e-11,5.788175e-06
2.277500e-11,5.787664e-06
2.280000e-11,5.787153e-06
2.282500e-11,5.786642e-06
2.285000e-11,5.786134e-06
2.287500e-11,5.785628e-06
2.290000e-11,5.785127e-06
2.292500e-11,5.784630e-06
2.295000e-11,5.784141e-06
2.297500e-11,5.783658e-06
2.300000e-11,5.783184e-06
2.302500e-11,5.782720e-06
2.305000e-11,5.782266e-06
2.307500e-11,5.781824e-06
2.310000e-11,5.781393e-06
2.312500e-11,5.780976e-06
2.315000e-11,5.780573e-06
2.317500e-11,5.780184e-06
2.320000e-11,5.779811e-06
2.322500e-11,5.779454e-06
2.325000e-11,5.779114e-06
2.327500e-11,5.778790e-06
2.330000e-11,5.778485e-06
